descricao,data,valor,categoria,pago_por,km_abastecimento,lts_combustivel,preco_combustivel,viagem_id,veiculo_id
Comissão Mot,2025-04-23,600.0,Comissão,Motorista,,,,['1cb6a2d5-8811-8018-ab3d-f5cf1b1cf233'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Diaria 15 Dias,2025-04-23,1350.0,Diária,Motorista,,,,['1cb6a2d5-8811-8018-ab3d-f5cf1b1cf233'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Comissão Izaias,2025-04-23,200.0,Diversos,Motorista,,,,['1cb6a2d5-8811-8018-ab3d-f5cf1b1cf233'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Conserto Bau - Geral,2025-04-23,650.0,Manutenção,Motorista,,,,['1cb6a2d5-8811-8018-ab3d-f5cf1b1cf233'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Caxinha Geral,2025-04-23,60.0,Gorjeta,Motorista,,,,['1cb6a2d5-8811-8018-ab3d-f5cf1b1cf233'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Strada,2025-04-23,50.0,Diversos,Motorista,,,,['1cb6a2d5-8811-8018-ab3d-f5cf1b1cf233'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Corrente - P.outo Carro,2025-04-23,144.0,Manutenção,Motorista,,,,['1cb6a2d5-8811-8018-ab3d-f5cf1b1cf233'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Borracharia Strada -Vul,2025-04-23,280.0,Borracharia,Motorista,,,,['1cb6a2d5-8811-8018-ab3d-f5cf1b1cf233'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Lavagem Bau - 1/2,2025-04-23,230.0,Lavagem,Motorista,,,,['1cb6a2d5-8811-8018-ab3d-f5cf1b1cf233'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
lampada Farol,2025-04-23,40.0,Manutenção,Motorista,,,,['1cb6a2d5-8811-8018-ab3d-f5cf1b1cf233'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto São João ,2025-04-23,99.0,Arla,Empresa,,,,['1cb6a2d5-8811-8018-ab3d-f5cf1b1cf233'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto São João ,2025-04-23,2096.03,Combustível,Empresa,,,,['1cb6a2d5-8811-8018-ab3d-f5cf1b1cf233'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto Rede +,2025-04-09,167.8,Arla,Motorista,,,,['1cb6a2d5-8811-8018-ab3d-f5cf1b1cf233'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto Reforço,2025-04-18,179.98,Arla,Motorista,,,,['1cb6a2d5-8811-8018-ab3d-f5cf1b1cf233'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto Reforço,2025-04-18,2874.16,Combustível,Motorista,,,,['1cb6a2d5-8811-8018-ab3d-f5cf1b1cf233'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto Grall,2025-04-16,88.42,Arla,Motorista,,,,['1cb6a2d5-8811-8018-ab3d-f5cf1b1cf233'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto Grall,2025-04-16,2065.0,Combustível,Motorista,,,,['1cb6a2d5-8811-8018-ab3d-f5cf1b1cf233'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto Grall,2025-04-11,155.44,Arla,Motorista,,,,['1cb6a2d5-8811-8018-ab3d-f5cf1b1cf233'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto Grall,2025-04-11,3866.94,Combustível,Motorista,,,,['1cb6a2d5-8811-8018-ab3d-f5cf1b1cf233'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto Andorinha,2025-04-09,90.0,Arla,Motorista,,,,['1cb6a2d5-8811-8018-ab3d-f5cf1b1cf233'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto Andorinha,2025-04-09,1915.57,Combustível,Motorista,,,,['1cb6a2d5-8811-8018-ab3d-f5cf1b1cf233'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto Ygor,2025-04-08,2211.51,Combustível,Motorista,,,,['1cb6a2d5-8811-8018-ab3d-f5cf1b1cf233'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Comissão Mot,2025-04-08,400.0,Comissão,Motorista,,,,['1bc6a2d5-8811-8065-bf6c-c7f3131fcb1c'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Caxinha Madeira,2025-04-08,20.0,Gorjeta,Motorista,,,,['1bc6a2d5-8811-8065-bf6c-c7f3131fcb1c'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Ajudante,2025-04-08,35.0,Diversos,Motorista,,,,['1bc6a2d5-8811-8065-bf6c-c7f3131fcb1c'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Martelinho ouro,2025-04-08,100.0,Manutenção,Motorista,,,,['1bc6a2d5-8811-8065-bf6c-c7f3131fcb1c'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Lavagem Tiago,2025-04-08,300.0,Lavagem,Motorista,,,,['1bc6a2d5-8811-8065-bf6c-c7f3131fcb1c'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Lubrificação ,2025-04-08,50.0,Manutenção,Motorista,,,,['1bc6a2d5-8811-8065-bf6c-c7f3131fcb1c'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Avaria,2025-04-08,15.89,Diversos,Motorista,,,,['1bc6a2d5-8811-8065-bf6c-c7f3131fcb1c'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Taxa Passe,2025-04-08,23.7,Diversos,Motorista,,,,['1bc6a2d5-8811-8065-bf6c-c7f3131fcb1c'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Diarias 14 Dias,2025-04-08,1120.0,Diária,Motorista,,,,['1bc6a2d5-8811-8065-bf6c-c7f3131fcb1c'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Posto São João,2025-04-07,156.0,Arla,Empresa,,,,['1bc6a2d5-8811-8065-bf6c-c7f3131fcb1c'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Posto São João,2025-04-07,2885.0,Combustível,Empresa,,,,['1bc6a2d5-8811-8065-bf6c-c7f3131fcb1c'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Posto Terra Nova,2025-04-05,2098.16,Combustível,Empresa,,,,['1bc6a2d5-8811-8065-bf6c-c7f3131fcb1c'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Posto Arizona,2025-04-04,149.52,Arla,Motorista,,,,['1bc6a2d5-8811-8065-bf6c-c7f3131fcb1c'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Posto HD 11,2025-04-04,2000.0,Combustível,Empresa,,,,['1bc6a2d5-8811-8065-bf6c-c7f3131fcb1c'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Posto Pacheco,2025-04-03,350.0,Combustível,Motorista,,,,['1bc6a2d5-8811-8065-bf6c-c7f3131fcb1c'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Posto Volante de Ouro,2025-04-01,139.92,Arla,Empresa,,,,['1bc6a2d5-8811-8065-bf6c-c7f3131fcb1c'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Posto Volante de Ouro,2025-04-01,3570.01,Combustível,Empresa,,,,['1bc6a2d5-8811-8065-bf6c-c7f3131fcb1c'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Posto Arizona,2025-03-24,56.04,Arla,Empresa,,,,['1bc6a2d5-8811-8065-bf6c-c7f3131fcb1c'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Posto Arizona,2025-03-24,1483.95,Combustível,Empresa,,,,['1bc6a2d5-8811-8065-bf6c-c7f3131fcb1c'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Posto São João,2025-04-04,126.0,Arla,Empresa,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto São João,2025-04-04,3255.02,Combustível,Empresa,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Comissão Mot,2025-04-02,1200.0,Comissão,Motorista,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Diaria 36 Dias,2025-04-02,3240.0,Diária,Motorista,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Comissão Alaine,2025-04-02,250.0,Comissão,Motorista,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Caxinha,2025-04-02,140.0,Gorjeta,Motorista,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Mont. farol - Tampa,2025-04-02,280.0,Manutenção,Motorista,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Reaperto Feixe,2025-04-02,50.0,Manutenção,Motorista,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Vassoura,2025-04-02,12.49,Diversos,Motorista,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Fita Tacografo,2025-04-02,45.0,Manutenção,Motorista,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Lampada H7,2025-04-02,55.0,Manutenção,Motorista,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Lona,2025-04-02,124.8,Diversos,Motorista,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
lubrificação,2025-04-02,50.0,Manutenção,Motorista,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Borracharia Strada,2025-04-02,90.0,Borracharia,Motorista,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
lavagem  ,2025-04-02,230.0,Lavagem,Motorista,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Estacionamento,2025-04-02,40.0,Estacionamento,Motorista,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto Cotegir,2025-04-02,300.0,Combustível,Motorista,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto Reforço,2025-03-16,161.24,Arla,Motorista,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto Reforço,2025-03-16,1716.54,Combustível,Motorista,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto ygor,2025-03-22,95.0,Arla,Motorista,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto ygor,2025-03-22,2230.01,Combustível,Motorista,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto Pichilau,2025-03-18,99.0,Arla,Motorista,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto Pichilau,2025-03-18,2000.04,Combustível,Motorista,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto Grall Estiva,2025-03-28,141.15,Arla,Motorista,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto Grall Estiva,2025-03-28,3432.26,Combustível,Motorista,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto Grall Estiva,2025-03-14,105.8,Arla,Motorista,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto Grall Estiva,2025-03-14,3150.19,Combustível,Motorista,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto Moro Azul,2025-03-12,65.64,Arla,Motorista,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto Moro Azul,2025-03-12,600.0,Combustível,Motorista,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto D angelis,2025-03-24,107.6,Arla,Empresa,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto D angelis,2025-03-24,2168.35,Combustível,Empresa,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto D angelis,2025-03-15,1733.32,Combustível,Empresa,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto D angelis,2025-03-10,126.92,Arla,Empresa,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto D angelis,2025-03-10,2139.2,Combustível,Empresa,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto Andorinha,2025-03-23,150.94,Arla,Empresa,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto Andorinha,2025-03-23,1784.75,Combustível,Empresa,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto Andorinha,2025-03-30,270.0,Arla,Empresa,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto Andorinha,2025-03-30,3451.49,Combustível,Empresa,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto Andorinha,2025-03-09,90.0,Arla,Motorista,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto Andorinha,2025-03-09,1896.91,Combustível,Motorista,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto Ygor,2025-03-08,90.0,Arla,Motorista,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto Ygor,2025-03-08,1791.0,Combustível,Motorista,,,,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto HD 11 ,2025-03-16,2000.0,Combustível,Empresa,,,,['1bc6a2d5-8811-80a8-9af0-c5d51f39ca03'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Comissão Mot ,2025-03-20,300.0,Comissão,Motorista,,,,['1bc6a2d5-8811-80a8-9af0-c5d51f39ca03'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Estacionamento ,2025-03-20,50.0,Estacionamento,Motorista,,,,['1bc6a2d5-8811-80a8-9af0-c5d51f39ca03'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Comisão Ronaldo ,2025-03-20,250.0,Comissão,Motorista,,,,['1bc6a2d5-8811-80a8-9af0-c5d51f39ca03'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Taxa Passe ,2025-03-20,23.7,Diversos,Motorista,,,,['1bc6a2d5-8811-80a8-9af0-c5d51f39ca03'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Ajudante,2025-03-20,35.0,Diversos,Motorista,,,,['1bc6a2d5-8811-80a8-9af0-c5d51f39ca03'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Caxinha ,2025-03-20,110.0,Gorjeta,Motorista,,,,['1bc6a2d5-8811-80a8-9af0-c5d51f39ca03'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Diarias 22 Dias,2025-03-20,1760.0,Diária,Motorista,,,,['1bc6a2d5-8811-80a8-9af0-c5d51f39ca03'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Posto São João,2025-03-20,111.0,Arla,Empresa,,,,['1bc6a2d5-8811-80a8-9af0-c5d51f39ca03'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Posto São João ,2025-03-20,2920.06,Combustível,Empresa,,,,['1bc6a2d5-8811-80a8-9af0-c5d51f39ca03'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Posto Arizona ,2025-03-17,239.36,Arla,Empresa,,,,['1bc6a2d5-8811-80a8-9af0-c5d51f39ca03'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Posto Arizona ,2025-03-17,1926.8,Combustível,Empresa,,,,['1bc6a2d5-8811-80a8-9af0-c5d51f39ca03'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Posto Pacheco,2025-03-16,1025.54,Combustível,Empresa,,,,['1bc6a2d5-8811-80a8-9af0-c5d51f39ca03'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Posto Volante Ouro,2025-03-14,123.66,Arla,Motorista,,,,['1bc6a2d5-8811-80a8-9af0-c5d51f39ca03'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Posto Volante Ouro,2025-03-14,3108.82,Combustível,Motorista,,,,['1bc6a2d5-8811-80a8-9af0-c5d51f39ca03'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Posto Boiadeiro,2025-03-05,41.42,Arla,Motorista,,,,['1bc6a2d5-8811-80a8-9af0-c5d51f39ca03'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Posto Boiadeiro,2025-03-05,1088.93,Combustível,Motorista,,,,['1bc6a2d5-8811-80a8-9af0-c5d51f39ca03'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Posto Belém,2025-02-28,129.76,Arla,Empresa,,,,['1bc6a2d5-8811-80a8-9af0-c5d51f39ca03'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Posto Belém,2025-02-28,2955.97,Combustível,Empresa,,,,['1bc6a2d5-8811-80a8-9af0-c5d51f39ca03'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
Comissão,2025-02-27,400.0,Comissão,Motorista,,,,['1926a2d5-8811-80c5-ac80-f94d977cbc3d'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Diaria 18 Dias,2025-02-27,1440.0,Diária,Motorista,,,,['1926a2d5-8811-80c5-ac80-f94d977cbc3d'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Passagem Gloria,2025-02-27,36.0,Diversos,Motorista,,,,['1926a2d5-8811-80c5-ac80-f94d977cbc3d'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Chapa - Timon,2025-02-27,30.0,Gorjeta,Motorista,,,,['1926a2d5-8811-80c5-ac80-f94d977cbc3d'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
FC Ronaldo,2025-02-27,300.0,Gorjeta,Motorista,,,,['1926a2d5-8811-80c5-ac80-f94d977cbc3d'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Caxinha ,2025-02-27,120.0,Gorjeta,Motorista,,,,['1926a2d5-8811-80c5-ac80-f94d977cbc3d'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Murini,2025-02-27,500.0,Diversos,Motorista,,,,['1926a2d5-8811-80c5-ac80-f94d977cbc3d'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Avaria,2025-02-27,20.0,Diversos,Motorista,,,,['1926a2d5-8811-80c5-ac80-f94d977cbc3d'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Alinhamento Carreta,2025-02-27,150.0,Manutenção,Motorista,,,,['1926a2d5-8811-80c5-ac80-f94d977cbc3d'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Taxa Para,2025-02-27,23.7,Diversos,Motorista,,,,['1926a2d5-8811-80c5-ac80-f94d977cbc3d'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Lavagem ,2025-02-27,200.0,Lavagem,Motorista,,,,['1926a2d5-8811-80c5-ac80-f94d977cbc3d'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Borracharia Strada,2025-02-27,140.0,Borracharia,Motorista,,,,['1926a2d5-8811-80c5-ac80-f94d977cbc3d'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Lubrificação,2025-02-27,50.0,Manutenção,Motorista,,,,['1926a2d5-8811-80c5-ac80-f94d977cbc3d'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Produto Limpeza,2025-02-27,35.58,Diversos,Motorista,,,,['1926a2d5-8811-80c5-ac80-f94d977cbc3d'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Tampa Corrote,2025-02-27,29.0,Manutenção,Motorista,,,,['1926a2d5-8811-80c5-ac80-f94d977cbc3d'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Estacionamento,2025-02-27,109.0,Estacionamento,Motorista,,,,['1926a2d5-8811-80c5-ac80-f94d977cbc3d'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto São João,2025-02-26,75.0,Arla,Empresa,,,,['1926a2d5-8811-80c5-ac80-f94d977cbc3d'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto São João,2025-02-26,2263.01,Combustível,Empresa,,,,['1926a2d5-8811-80c5-ac80-f94d977cbc3d'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto Ana Terra,2025-02-21,148.0,Arla,Empresa,,,,['1926a2d5-8811-80c5-ac80-f94d977cbc3d'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
`Posto Ana Terra,2025-02-21,2479.92,Combustível,Empresa,,,,['1926a2d5-8811-80c5-ac80-f94d977cbc3d'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
Posto Arizona,2025-02-22,135.0,Arla,Motorista,,,,['1926a2d5-8811-80c5-ac80-f94d977cbc3d'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
