km_inicial,km_final,km_total_viagem,lts_combustivel,preco_combustivel,media,viagem_id,motorista_id,veiculo_id
145942,,-145942,0.0,,,['1de6a2d5-8811-8059-9764-dc3a813a18ab'],['43bbc637-9b6a-4f05-a376-83edcfb92830'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
139252,145942.0,6690,2592.05,5.790470329489,2.580968731313,['1cb6a2d5-8811-8018-ab3d-f5cf1b1cf233'],['43bbc637-9b6a-4f05-a376-83edcfb92830'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
53999,58996.0,4997,2038.3799999999997,6.077033879926,2.451456548828,['1bc6a2d5-8811-8065-bf6c-c7f3131fcb1c'],['1426a2d5-8811-8022-b367-d7e832988dbf'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
48381,53999.0,5618,2450.2300000000005,6.131697658305,2.292845977725,['1bc6a2d5-8811-80a8-9af0-c5d51f39ca03'],['1426a2d5-8811-8022-b367-d7e832988dbf'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
43144,48381.0,5237,2119.83,6.222007668121,2.470481123486,['18c6a2d5-8811-8032-bf44-d56cd516f019'],['1426a2d5-8811-8022-b367-d7e832988dbf'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
125414,139252.0,13838,5257.849999999999,6.022722876283,2.631874245176,['1a76a2d5-8811-809e-9ad9-eefbaa0f7dcd'],['43bbc637-9b6a-4f05-a376-83edcfb92830'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
120126,125414.0,5288,2157.8999999999996,6.11464665481,2.450530608462,['1926a2d5-8811-80c5-ac80-f94d977cbc3d'],['43bbc637-9b6a-4f05-a376-83edcfb92830'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
40195,43144.0,2949,909.05,5.894996019742,3.244045982069,['18c6a2d5-8811-807a-a4a3-fb29c176d47d'],['1426a2d5-8811-8022-b367-d7e832988dbf'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
115354,120126.0,4772,1737.01,6.002551163041,2.747249584055,['1816a2d5-8811-8021-9543-d623289bface'],['43bbc637-9b6a-4f05-a376-83edcfb92830'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
112953,115354.0,2401,936.94,5.870124850471,2.562597391509,['1776a2d5-8811-806b-b169-f639e1cf4f16'],['43bbc637-9b6a-4f05-a376-83edcfb92830'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
110550,112953.0,2403,904.12,5.840203903847,2.657833031014,['1716a2d5-8811-8034-be44-f9b1bb6fe610'],['43bbc637-9b6a-4f05-a376-83edcfb92830'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
36195,40635.0,4440,1840.77,5.957357920546,2.412034094428,['16c6a2d5-8811-80ec-bdfe-e094be3e2660'],['1426a2d5-8811-8022-b367-d7e832988dbf'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3']
107883,110550.0,2667,970.01,5.840061245447,2.749456191173,['15e6a2d5-8811-80ff-849d-d646e1ee6bd6'],['43bbc637-9b6a-4f05-a376-83edcfb92830'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
99915,107883.0,7968,3082.96,5.840217289536,2.5845291538,['1476a2d5-8811-8075-b76d-c927c431c511'],['43bbc637-9b6a-4f05-a376-83edcfb92830'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
91714,99915.0,8201,3112.73,5.79695395392,2.634664747665,['1366a2d5-8811-800f-9674-cef7a4068866'],['43bbc637-9b6a-4f05-a376-83edcfb92830'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
78546,91714.0,13168,5026.84,5.735343889508,2.619538318307,['1216a2d5-8811-8016-a91c-deb35c276406'],['43bbc637-9b6a-4f05-a376-83edcfb92830'],['809e3a03-91cb-4d44-a91d-360e71c9cc12']
