identificador,credito_motorista,ida_valor_frete,volta_valor_frete,extra_valor_frete,ida_destino,volta_destino,data_ida,data_chegada,status,ida_transportadore,volta_transportadore,veiculo_id,motorista_id,lucro_bruto
,2000.0,,,,,,,,Não Iniciada,['MacTransportes'],[],['809e3a03-91cb-4d44-a91d-360e71c9cc12'],['43bbc637-9b6a-4f05-a376-83edcfb92830'],0.0
,,,,,,,2025-04-12,2025-04-20,Em Viagem,['MacTransportes'],[],['97ad4755-71fa-4312-8b59-e86abdbc9cf3'],['1426a2d5-8811-8022-b367-d7e832988dbf'],0.0
,28221.97,5692.05,16519.97,9702.0,Picos,Maceio,2025-04-06,2025-04-20,Fim de Viagem,['MacTransportes'],['Termarco'],['809e3a03-91cb-4d44-a91d-360e71c9cc12'],['43bbc637-9b6a-4f05-a376-83edcfb92830'],12500.17
,2800.0,12259.8,22250.0,,Imperatriz,Itabaiana,2025-03-23,2025-04-05,Fim de Viagem,['MacTransportes'],['Madereira Cunha'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3'],['1426a2d5-8811-8022-b367-d7e832988dbf'],19556.61
,7700.0,12232.08,18240.0,5200.0,São Luiz - MA ,Sra  da Glória,2025-02-26,2025-03-19,Fim de Viagem,['MacTransportes'],['Imporio Madeiras'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3'],['1426a2d5-8811-8022-b367-d7e832988dbf'],17472.06
,22880.0,5502.32,19140.0,46226.53,Petrolina,Recife ,2025-02-27,2025-04-03,Fim de Viagem,['MacTransportes'],['Rodo PC - Eliane'],['809e3a03-91cb-4d44-a91d-360e71c9cc12'],['43bbc637-9b6a-4f05-a376-83edcfb92830'],31783.18999999999
,11915.58,7892.81,17280.0,10967.75,Fortaleza - Pag,Sra da Glória,2025-02-07,2025-02-26,Fim de Viagem,['MacTransportes'],['Imporio Madeiras'],['809e3a03-91cb-4d44-a91d-360e71c9cc12'],['43bbc637-9b6a-4f05-a376-83edcfb92830'],18806.62
,2000.0,7251.51,17000.0,11825.9,Fortaleza - Fiação,Itabaiana,2025-01-31,2025-02-21,Fim de Viagem,['MacTransportes'],['Madereira Cunha'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3'],['1426a2d5-8811-8022-b367-d7e832988dbf'],18512.35
,5405.0,7800.0,6400.0,,Fortaleza,Santana Do Ipanema,2025-01-22,2025-01-30,Fim de Viagem,['TransBrasil'],['Transviana'],['97ad4755-71fa-4312-8b59-e86abdbc9cf3'],['1426a2d5-8811-8022-b367-d7e832988dbf'],7513.68
,12455.0,7800.0,6400.0,13551.6,Fortaleza,Nra Senhora do Socorro,2025-01-21,2025-02-01,Fim de Viagem,['TransBrasil'],['Transviana'],['809e3a03-91cb-4d44-a91d-360e71c9cc12'],['43bbc637-9b6a-4f05-a376-83edcfb92830'],14574.0
,2000.0,9000.0,6400.0,,Fortaleza,Moita Bonita,2025-01-09,2025-01-18,Fim de Viagem,['TransBrasil'],['Transviana'],['809e3a03-91cb-4d44-a91d-360e71c9cc12'],['43bbc637-9b6a-4f05-a376-83edcfb92830'],8431.900000000001
