id,km_inicial,km_total,lts_combustivel,preco_combustivel,viagem_id,motorista_id,veiculo_id,km_final,media
2356a2d58811803d9c0fc0dd7730b788,91446,-91446,0.0,,2356a2d5881180f6990dc2700775cece,43bbc6379b6a4f05a37683edcfb92830,97ad475571fa43128b59e86abdbc9cf3,,
2266a2d5881180fba7c9f52c85309cd0,158749,5433,2170.99,5.66,2266a2d5881180fca8c7f35669685ad1,1f26a2d58811808e9f77c09a15f7bb65,809e3a0391cb4d44a91d360e71c9cc12,164182.0,2.5
2266a2d5881180f5a412ef1620aed541,157469,2342,768.19,5.64,21e6a2d58811801bb8f4ea84d238b116,1f26a2d58811808e9f77c09a15f7bb65,809e3a0391cb4d44a91d360e71c9cc12,159811.0,3.05
2266a2d58811808d9412e515f47c2b27,153087,4382,1972.34,5.64,20e6a2d588118097835ae5c8af5f1662,1f26a2d58811808e9f77c09a15f7bb65,809e3a0391cb4d44a91d360e71c9cc12,157469.0,2.22
2116a2d588118056b9f1eae05ffa9aae,77807,13639,4987.07,5.67,2116a2d588118072b1dbef3b729a6f01,43bbc6379b6a4f05a37683edcfb92830,97ad475571fa43128b59e86abdbc9cf3,91446.0,2.73
2106a2d5881180078991e6044db560fe,64647,13160,5073.69,5.63,1ec6a2d58811804d9790cecaf7c15a96,43bbc6379b6a4f05a37683edcfb92830,97ad475571fa43128b59e86abdbc9cf3,77807.0,2.59
1f16a2d58811800f95a7c86e560b8356,146826,6261,2533.91,5.74,1ec6a2d5881180c89c97cf739e9bbb0d,1f26a2d58811808e9f77c09a15f7bb65,809e3a0391cb4d44a91d360e71c9cc12,153087.0,2.47
1ea6a2d5881180fe80a1ca19bc9c2569,58996,5651,2349.66,5.88,1cf6a2d5881180518822d6e4f1b6bd0f,1426a2d588118022b367d7e832988dbf,97ad475571fa43128b59e86abdbc9cf3,64647.0,2.41
1de6a2d5881180fc83f4f5eec85b7a6e,145942,884,295.79,5.69,1de6a2d5881180599764dc3a813a18ab,43bbc6379b6a4f05a37683edcfb92830,809e3a0391cb4d44a91d360e71c9cc12,146826.0,2.99
1de6a2d58811807da263c873e5ac6f23,139252,6690,2592.05,5.79,1cb6a2d588118018ab3df5cf1b1cf233,43bbc6379b6a4f05a37683edcfb92830,809e3a0391cb4d44a91d360e71c9cc12,145942.0,2.58
1cf6a2d588118026bd60eb2c9c010223,53999,4997,2038.38,6.08,1bc6a2d588118065bf6cc7f3131fcb1c,1426a2d588118022b367d7e832988dbf,97ad475571fa43128b59e86abdbc9cf3,58996.0,2.45
1cf6a2d5881180578f96e3d48888c902,48381,5618,2450.23,6.13,1bc6a2d5881180a89af0c5d51f39ca03,1426a2d588118022b367d7e832988dbf,97ad475571fa43128b59e86abdbc9cf3,53999.0,2.29
1cf6a2d588118040a4aaf8a34ef2758a,43144,5237,2119.83,6.22,18c6a2d588118032bf44d56cd516f019,1426a2d588118022b367d7e832988dbf,97ad475571fa43128b59e86abdbc9cf3,48381.0,2.47
1a76a2d5881180209994db1b48cbcd52,125414,13838,5257.85,6.02,1a76a2d58811809e9ad9eefbaa0f7dcd,43bbc6379b6a4f05a37683edcfb92830,809e3a0391cb4d44a91d360e71c9cc12,139252.0,2.63
1a76a2d58811800cbb10fccb7a8cc834,120126,5288,2157.9,6.11,1926a2d5881180c5ac80f94d977cbc3d,43bbc6379b6a4f05a37683edcfb92830,809e3a0391cb4d44a91d360e71c9cc12,125414.0,2.45
18c6a2d5881180e394eeef8e319c7951,40195,2949,909.05,5.89,18c6a2d58811807aa4a3fb29c176d47d,1426a2d588118022b367d7e832988dbf,97ad475571fa43128b59e86abdbc9cf3,43144.0,3.24
1816a2d5881180bfa7d7f3f84b72cf65,115354,4772,1737.01,6.0,1816a2d5881180219543d623289bface,43bbc6379b6a4f05a37683edcfb92830,809e3a0391cb4d44a91d360e71c9cc12,120126.0,2.75
1786a2d58811805fbe8ede2f498de9b4,112953,2401,936.94,5.87,1776a2d58811806bb169f639e1cf4f16,43bbc6379b6a4f05a37683edcfb92830,809e3a0391cb4d44a91d360e71c9cc12,115354.0,2.56
