id,identificador,credito_motorista,frete_ida,frete_volta,frete_extra,destinos_ida,destinos_volta,destinos_extra,data_ida,data_volta,status,transportador_ida,transportador_volta,veiculo_id,motorista_id,lucro_bruto,gasto_motorista,gasto_empresa,total_despesas_viagem,troco_da_viagem,destinos_ida_std,destinos_volta_std,media_e_km_id,km_inicial,km_total,lts_combustivel,preco_combustivel,km_final,media
1de6a2d5881180599764dc3a813a18ab,27/04/25 RRE 1J19 NV 22,2000.0,,,,,,,,,NAO INICIADA,MACTRANSPORTES,,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,0.0,0.0,0.0,0.0,2000.0,,,1de6a2d5881180fc83f4f5eec85b7a6e,145942.0,-145942.0,0.0,,,
1cf6a2d5881180518822d6e4f1b6bd0f,11/04/25 0D19 11/04/25 NV 12,,,,,,,,2025-04-12,2025-04-20,EM VIAGEM,MACTRANSPORTES,,97ad475571fa43128b59e86abdbc9cf3,1426a2d588118022b367d7e832988dbf,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
1cb6a2d588118018ab3df5cf1b1cf233,06/04/25 RRE 1J19 NV 21,28221.97,5692.05,16519.97,9702.0,PICOS,MACEIO,"GESSO MODERNO - CONCEICAO OURO 9702,00",2025-04-06,2025-04-20,FIM DE VIAGEM,MACTRANSPORTES,TERMARCO,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,12500.17,17218.82,2195.03,19413.85,11003.15,Picos - PI - Brasil,Maceió - AL - Brasil,1de6a2d58811807da263c873e5ac6f23,139252.0,6690.0,2592.05,5.79,145942.0,2.58
1bc6a2d588118065bf6cc7f3131fcb1c,RRD 0D19 24/03/25 NV 11,2800.0,12259.8,22250.0,,IMPERATRIZ,ITABAIANA,,2025-03-23,2025-04-05,FIM DE VIAGEM,MACTRANSPORTES,MADEREIRA CUNHA,97ad475571fa43128b59e86abdbc9cf3,1426a2d588118022b367d7e832988dbf,19556.61,2564.11,12389.08,14953.19,235.89,Imperatriz - MA - Brasil,Itabaiana - PB - Brasil,1cf6a2d588118026bd60eb2c9c010223,53999.0,4997.0,2038.38,6.08,58996.0,2.45
1bc6a2d5881180a89af0c5d51f39ca03,RRD 0D19 26/02/25 NV 10,7700.0,12232.08,18240.0,5200.0,SAO LUIZ - MA ,SRA  DA GLORIA,FC OLIVEIRA - RONALDO ,2025-02-26,2025-03-19,FIM DE VIAGEM,MACTRANSPORTES,IMPORIO MADEIRAS,97ad475571fa43128b59e86abdbc9cf3,1426a2d588118022b367d7e832988dbf,17472.06,6891.53,11308.49,18200.02,808.47,São Luiz - RR - Brasil,Nossa Senhora da Glória - SE - Brasil,1cf6a2d5881180578f96e3d48888c902,48381.0,5618.0,2450.23,6.13,53999.0,2.29
1a76a2d58811809e9ad9eefbaa0f7dcd,27/02/25 RRE 1J19 NV 20,22880.0,5502.32,19140.0,46226.53,PETROLINA,RECIFE ,"GESSO -  SOROCABA 10,240,00 - GESSO 8,640,00  SAO JOAO DEU  REY - TWF RECIFE - ARACAJU 3200,00 - GAO 5000,00 - TERMACO 19146,53",2025-02-27,2025-04-03,FIM DE VIAGEM,MACTRANSPORTES,RODO PC - ELIANE,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,31783.19,23772.07,15313.59,39085.66,-892.07,Petrolina - PE - Brasil,Recife - PE - Brasil,1a76a2d5881180209994db1b48cbcd52,125414.0,13838.0,5257.85,6.02,139252.0,2.63
1926a2d5881180c5ac80f94d977cbc3d,07/02/25 RRE 1J19 NV 19,11915.58,7892.81,17280.0,10967.75,FORTALEZA - PAG,SRA DA GLORIA,"COOTROVALE -    FORTALEZA - TIMON 5767,75 -  / CODO - BELEM 5200,00",2025-02-07,2025-02-26,FIM DE VIAGEM,MACTRANSPORTES,IMPORIO MADEIRAS,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,18806.62,12368.01,4965.93,17333.94,-452.43,Fortaleza - CE - Brasil,Nossa Senhora da Glória - SE - Brasil,1a76a2d58811800cbb10fccb7a8cc834,120126.0,5288.0,2157.9,6.11,125414.0,2.45
18c6a2d588118032bf44d56cd516f019,RRD 0D19 31/01/25 NV 09,2000.0,7251.51,17000.0,11825.9,FORTALEZA - FIACAO,ITABAIANA,HIDROTINTAS - PINHEIRO MA,2025-01-31,2025-02-21,FIM DE VIAGEM,MACTRANSPORTES,MADEREIRA CUNHA,97ad475571fa43128b59e86abdbc9cf3,1426a2d588118022b367d7e832988dbf,18512.35,2820.7,14744.36,17565.06,-820.7,Fortaleza de Minas - MG - Brasil,Itabaiana - PB - Brasil,1cf6a2d588118040a4aaf8a34ef2758a,43144.0,5237.0,2119.83,6.22,48381.0,2.47
18c6a2d58811807aa4a3fb29c176d47d,RRD OD19 22/01/25 NV 08,5405.0,7800.0,6400.0,,FORTALEZA,SANTANA DO IPANEMA,,2025-01-22,2025-01-30,FIM DE VIAGEM,TRANSBRASIL,TRANSVIANA,97ad475571fa43128b59e86abdbc9cf3,1426a2d588118022b367d7e832988dbf,7513.68,4690.32,1996.0,6686.32,714.68,Fortaleza - CE - Brasil,Santana do Ipanema - AL - Brasil,18c6a2d5881180e394eeef8e319c7951,40195.0,2949.0,909.05,5.89,43144.0,3.24
1816a2d5881180219543d623289bface,21/01/25 RRE 1J19 NV 18,12455.0,7800.0,6400.0,13551.6,FORTALEZA,NRA SENHORA DO SOCORRO,"PAPELAO RIBEIROPOLIS - 5500,00 - MAC TRANSPORTES 8051,60- ",2025-01-21,2025-02-01,FIM DE VIAGEM,TRANSBRASIL,TRANSVIANA,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,14574.0,8507.17,4670.43,13177.6,3947.83,Fortaleza - CE - Brasil,Nossa Senhora do Socorro - SE - Brasil,1816a2d5881180bfa7d7f3f84b72cf65,115354.0,4772.0,1737.01,6.0,120126.0,2.75
