id,identificador,credito_motorista,frete_ida,frete_volta,frete_extra,destinos_ida,destinos_volta,destinos_extra,data_ida,data_volta,status,transportador_ida,transportador_volta,veiculo_id,motorista_id,lucro_bruto,gasto_motorista,gasto_empresa,total_despesas_viagem,troco_da_viagem,destinos_ida_origem_standard,destinos_ida_destino_standard,destinos_volta_origem_standard,destinos_volta_destino_standard
1ec6a2d5881180c89c97cf739e9bbb0d,12/05/25 RRE 1J19 NV23,2000.0,,,,FORTALEZA,,,2025-05-12,,EM VIAGEM,MACTRANSPORTES,,809e3a0391cb4d44a91d360e71c9cc12,1f26a2d58811808e9f77c09a15f7bb65,0.0,0.0,0.0,0.0,2000.0,Fortaleza - CE - Brasil,,,
1ec6a2d58811804d9790cecaf7c15a96,10/05/25  RRE 1J19 NV 23,2000.0,,,,,,,,,EM VIAGEM,,,97ad475571fa43128b59e86abdbc9cf3,1f26a2d58811808e9f77c09a15f7bb65,0.0,0.0,0.0,0.0,2000.0,,,,
1de6a2d5881180599764dc3a813a18ab,27/04/25 RRE 1J19 NV 22,2000.0,5254.2,,,FLORESTA,,,2025-04-27,2025-05-03,FIM DE VIAGEM,MACTRANSPORTES,,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,2648.2,860.0,1746.0,2606.0,1140.0,Floresta - PE - Brasil,,,
1cf6a2d5881180518822d6e4f1b6bd0f,11/04/25 0D19 11/04/25 NV 12,13708.0,7000.0,19000.0,11208.96,FORTALEZA,ITABAIANA,STA TRANSPORTES FORTALEZA - BELEM ,2025-04-12,2025-04-29,FIM DE VIAGEM,GAO TRANSPORTES,MADEREIRA CUNHA,97ad475571fa43128b59e86abdbc9cf3,1426a2d588118022b367d7e832988dbf,20607.45,12939.71,3661.8,16601.51,768.29,Fortaleza - CE - Brasil,,Itabaiana - PB - Brasil,
1cb6a2d588118018ab3df5cf1b1cf233,06/04/25 RRE 1J19 NV 21,28221.97,5692.05,16519.97,9702.0,PICOS,MACEIO,"GESSO MODERNO - CONCEICAO OURO 9702,00",2025-04-06,2025-04-20,FIM DE VIAGEM,MACTRANSPORTES,TERMARCO,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,12500.17,17218.82,2195.03,19413.85,11003.15,Picos - PI - Brasil,,Maceió - AL - Brasil,
1bc6a2d588118065bf6cc7f3131fcb1c,RRD 0D19 24/03/25 NV 11,2800.0,12259.8,22250.0,,IMPERATRIZ,ITABAIANA,,2025-03-23,2025-04-05,FIM DE VIAGEM,MACTRANSPORTES,MADEREIRA CUNHA,97ad475571fa43128b59e86abdbc9cf3,1426a2d588118022b367d7e832988dbf,19556.61,2564.11,12389.08,14953.19,235.89,Imperatriz - MA - Brasil,,Itabaiana - PB - Brasil,
1bc6a2d5881180a89af0c5d51f39ca03,RRD 0D19 26/02/25 NV 10,7700.0,12232.08,18240.0,5200.0,SAO LUIZ - MA ,SRA  DA GLORIA,FC OLIVEIRA - RONALDO ,2025-02-26,2025-03-19,FIM DE VIAGEM,MACTRANSPORTES,IMPORIO MADEIRAS,97ad475571fa43128b59e86abdbc9cf3,1426a2d588118022b367d7e832988dbf,17472.06,6891.53,11308.49,18200.02,808.47,São Luiz - RR - Brasil,Mauá - SP - Brasil,Nossa Senhora da Glória - SE - Brasil,
1a76a2d58811809e9ad9eefbaa0f7dcd,27/02/25 RRE 1J19 NV 20,22880.0,5502.32,19140.0,46226.53,PETROLINA,RECIFE ,"GESSO -  SOROCABA 10,240,00 - GESSO 8,640,00  SAO JOAO DEU  REY - TWF RECIFE - ARACAJU 3200,00 - GAO 5000,00 - TERMACO 19146,53",2025-02-27,2025-04-03,FIM DE VIAGEM,MACTRANSPORTES,RODO PC - ELIANE,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,31783.19,23772.07,15313.59,39085.66,-892.07,Petrolina - PE - Brasil,,Recife - PE - Brasil,
1926a2d5881180c5ac80f94d977cbc3d,07/02/25 RRE 1J19 NV 19,11915.58,7892.81,17280.0,10967.75,FORTALEZA - PAG,SRA DA GLORIA,"COOTROVALE -    FORTALEZA - TIMON 5767,75 -  / CODO - BELEM 5200,00",2025-02-07,2025-02-26,FIM DE VIAGEM,MACTRANSPORTES,IMPORIO MADEIRAS,809e3a0391cb4d44a91d360e71c9cc12,43bbc6379b6a4f05a37683edcfb92830,18806.62,12368.01,4965.93,17333.94,-452.43,Fortaleza - CE - Brasil,Poá - SP - Brasil,Nossa Senhora da Glória - SE - Brasil,
18c6a2d588118032bf44d56cd516f019,RRD 0D19 31/01/25 NV 09,2000.0,7251.51,17000.0,11825.9,FORTALEZA - FIACAO,ITABAIANA,HIDROTINTAS - PINHEIRO MA,2025-01-31,2025-02-21,FIM DE VIAGEM,MACTRANSPORTES,MADEREIRA CUNHA,97ad475571fa43128b59e86abdbc9cf3,1426a2d588118022b367d7e832988dbf,18512.35,2820.7,14744.36,17565.06,-820.7,Fortaleza - CE - Brasil,Riachão - MA - Brasil,Itabaiana - PB - Brasil,
